timestamp,gazepoint_x,gazepoint_y,pupil_area_right_sq_mm,pupil_area_left_sq_mm,eye_event
1,0.5015,0.5864,0.37,0.48,NA
1,0.5005,0.5929,0.37,0.48,NA
1,0.5003,0.5952,0.4,0.47,NA
1,0.5002,0.5936,0.4,0.47,NA
1,0.4995,0.5957,0.41,0.48,NA
1,0.4986,0.5961,0.41,0.47,NA
1,0.5005,0.5957,0.41,0.47,NA
1,0.5021,0.5959,0.41,0.47,NA
1,0.4769,0.713,0.45,0.49,FEx0.500y0.591d1.016
1,0.4849,0.7384,0.46,0.51,S
1,0.4728,0.7232,0.44,0.49,S
2,0.4643,0.7221,0.36,0.52,S
2,0.4159,0.4777,0.38,0.49,S
2,0.424,0.5181,0.38,0.47,S
2,0.4625,0.7057,0.46,0.49,S
2,0.0,0.0,0.0,0.0,BB
2,0.4913,0.8482,0.39,0.43,BE
3,0.4913,0.7055,0.43,0.51,S
3,0.486,0.7325,0.46,0.53,FB
3,0.4832,0.7306,0.45,0.51,NA
3,0.4615,0.5494,0.4,0.48,FEx0.485y0.731d0.246
3,0.4743,0.5207,0.43,0.52,FB
3,0.4653,0.6839,0.45,0.51,FEx0.474y0.521d0.094
3,0.4667,0.6886,0.45,0.5,S
3,0.4514,0.6741,0.44,0.5,FB
3,0.459,0.6792,0.46,0.49,NA
4,0.5051,0.6775,0.46,0.45,FEx0.455y0.677d0.215
4,0.5264,0.6809,0.43,0.47,FB
4,0.526,0.6785,0.44,0.48,NA
4,0.5191,0.6648,0.45,0.51,NA
4,0.4875,0.6289,0.4,0.52,FEx0.524y0.675d0.290
4,0.4032,0.5002,0.33,0.51,S
4,0.3871,0.3553,0.31,0.49,S
4,0.4121,0.3462,0.39,0.48,S
4,0.422,0.3799,0.38,0.52,S
4,0.432,0.3934,0.42,0.58,S
5,0.495,0.6038,0.43,0.48,S
5,0.4839,0.6214,0.42,0.46,S
5,0.5092,0.5896,0.4,0.5,S
5,0.5096,0.6223,0.4,0.49,S
5,0.5069,0.6379,0.43,0.5,FB
5,0.5064,0.5296,0.4,0.57,FEx0.507y0.638d0.134
5,0.5186,0.5097,0.42,0.6,S
5,0.5571,0.47,0.4,0.54,S
6,0.5569,0.4552,0.41,0.53,S
6,0.5621,0.5541,0.47,0.5,S
6,0.5568,0.5195,0.45,0.53,FB
6,0.5652,0.5184,0.43,0.52,NA
6,0.5382,0.5575,0.43,0.52,NA
6,0.5605,0.5696,0.4,0.54,FEx0.554y0.531d0.372
6,0.476,0.6757,0.45,0.39,S
6,0.4706,0.6572,0.4,0.44,S
7,0.4509,0.6656,0.35,0.49,S
7,0.4582,0.3788,0.34,0.47,S
7,0.4725,0.3765,0.39,0.51,S
7,0.488,0.3595,0.28,0.03,S
7,0.488,0.3595,0.45,0.48,S
7,0.4965,0.8884,0.57,0.63,S
7,0.5101,0.9163,0.51,0.61,S
7,0.4506,0.9676,0.48,0.64,S
7,0.4662,0.9812,0.51,0.61,S
8,0.6016,0.9118,0.44,0.67,S
8,0.5588,0.8422,0.53,0.74,S
8,0.6145,0.716,0.36,0.62,S
8,0.5841,0.6702,0.44,0.61,S
8,0.5985,0.5797,0.4,0.49,S
8,0.5882,0.5574,0.41,0.55,S
8,0.577,0.5733,0.42,0.63,S
8,0.5853,0.6152,0.42,0.58,S
8,0.6201,0.6159,0.39,0.59,S
9,0.645,0.7135,0.33,0.61,S
9,0.6416,0.6925,0.33,0.69,S
9,0.6526,0.6866,0.33,0.66,S
9,0.6602,0.693,0.34,0.64,S
1,0.653,0.6861,0.35,0.61,S
1,0.573,0.5786,0.39,0.48,S
1,0.5331,0.5854,0.41,0.52,S
1,0.5272,0.5838,0.41,0.49,FB
1,0.4741,0.6971,0.44,0.41,FEx0.527y0.584d0.128
1,0.4774,0.6838,0.43,0.43,S
1,0.5011,0.6287,0.41,0.52,S
1,0.4839,0.4358,0.38,0.5,S
1,0.4806,0.4676,0.39,0.5,S
2,0.4764,0.5098,0.4,0.55,S
2,0.472,0.5361,0.49,0.54,S
2,0.4793,0.7021,0.45,0.46,S
2,0.0,0.0,0.0,0.0,BB
2,0.4465,1.0453,0.38,0.48,BE
2,0.4953,0.543,0.41,0.51,S
2,0.4856,0.4886,0.43,0.51,S
3,0.4805,0.5387,0.42,0.53,S
3,0.4724,0.4488,0.45,0.56,S
3,0.4817,0.4295,0.41,0.59,S
3,0.4804,0.4038,0.43,0.59,S
3,0.4903,0.5573,0.46,0.56,S
3,0.4796,0.5506,0.46,0.53,S
3,0.518,0.7335,0.56,0.62,S
3,0.5056,0.7454,0.49,0.53,S
3,0.5081,0.7159,0.44,0.57,S
4,0.4642,0.6137,0.42,0.54,S
4,0.4382,0.4183,0.36,0.51,S
4,0.4259,0.5638,0.42,0.56,S
4,0.4391,0.6231,0.44,0.61,S
4,0.4444,0.6833,0.54,0.55,S
4,0.5271,0.9676,0.43,0.53,S
4,0.4961,0.9855,0.51,0.52,S
4,0.5078,0.9372,0.46,0.59,S
4,0.5243,1.083,0.35,0.38,S
5,0.5375,1.1824,0.39,0.45,S
5,0.4954,0.539,0.38,0.46,S
5,0.5152,0.5266,0.42,0.53,S
5,0.5149,0.4761,0.42,0.51,S
5,0.4875,0.3916,0.39,0.55,S
5,0.4797,0.5849,0.45,0.59,S
5,0.4955,0.6062,0.41,0.53,S
6,0.481,0.5761,0.41,0.52,FB
6,0.4958,0.6058,0.43,0.52,NA
6,0.5074,0.6118,0.43,0.5,NA
6,0.4696,0.766,0.51,0.53,FEx0.494y0.597d0.337
6,0.4673,0.7684,0.47,0.55,S
6,0.4613,0.6985,0.46,0.55,S
6,0.3876,0.4987,0.36,0.51,S
6,0.3553,0.4143,0.42,0.5,S
7,0.0,0.0,0.0,0.0,BB
7,0.3167,0.3102,0.49,0.58,BE
7,0.6014,0.7236,0.41,0.53,S
7,0.5502,0.6991,0.43,0.58,S
7,0.5255,0.7146,0.44,0.58,S
7,0.5181,0.7468,0.47,0.58,S
7,0.5176,0.5579,0.45,0.58,S
7,0.4775,0.486,0.38,0.51,S
8,0.4648,0.4619,0.39,0.53,S
8,0.4611,0.4146,0.39,0.52,S
8,0.4621,0.4809,0.41,0.51,S
8,0.4773,0.5828,0.44,0.56,S
8,0.4836,0.5877,0.44,0.55,FB
8,0.4851,0.5925,0.43,0.55,NA
8,0.4841,0.5904,0.43,0.53,NA
